№,Name,Description,Price,Image Url
1,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB зеленый,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB зеленый

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118784/1679158987_31384800.jpg
2,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB кремовый,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB кремовый

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118785/1679159066_25158800.jpg
3,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB графит,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB графит

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118786/1679159154_75202700.jpg
4,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB голубой,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB голубой

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118787/1679159225_02657600.jpg
5,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB лайм,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB лайм

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118788/1679159303_34858200.jpg
6,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB красный,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB красный

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/512 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",104250 сом,/images/product/118789/1679159390_27278700.jpg
7,Сотовый телефон Apple iPhone 13 128GB зеленый,"

Сотовый телефон Apple iPhone 13 128GB зеленый

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/105482/1650357323_84906500.png
8,Сотовый телефон Apple iPhone 13 mini 128GB зеленый,"

Сотовый телефон Apple iPhone 13 mini 128GB зеленый

        экран 5.4"" OLED 2340х1080; память 4/128 GB; процессор Apple A15; аккумулятор 2438 mAh; ОС Apple iOS 15; GSM 5G; камеры 12-12 mpx; фронтальная 12 mpx            ",59740 сом,/images/product/109836/1660984279_46653000.jpg
9,Сотовый телефон Xiaomi Poco M5 6/128GB желтый,"

Сотовый телефон Xiaomi Poco M5 6/128GB желтый

        6.6"" IPS 2408x1080 ~90Гц; процессор Helio G99; память 6/128 GB; основная камера 50+2+2 mpx; фронтальная 20 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 12; GSM 4G            ",13640 сом,/images/product/114706/1670170580_42110600.jpg
10,Сотовый телефон Samsung Galaxy S23 8/256GB черный,"

Сотовый телефон Samsung Galaxy S23 8/256GB черный

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118814/1679251526_93886600.jpg
11,Сотовый телефон Samsung Galaxy S23 8/256GB кремовый,"

Сотовый телефон Samsung Galaxy S23 8/256GB кремовый

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118815/1679251533_94566200.jpg
12,Сотовый телефон Samsung Galaxy S23 8/256GB зеленый,"

Сотовый телефон Samsung Galaxy S23 8/256GB зеленый

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118816/1679251537_66730500.jpg
13,Сотовый телефон Samsung Galaxy S23 8/256GB лавандовый,"

Сотовый телефон Samsung Galaxy S23 8/256GB лавандовый

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118817/1679251540_63725600.jpg
14,Сотовый телефон Samsung Galaxy S23 8/256GB графит,"

Сотовый телефон Samsung Galaxy S23 8/256GB графит

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118818/1679251543_11137000.jpg
15,Сотовый телефон Samsung Galaxy S23 8/256GB лайм,"

Сотовый телефон Samsung Galaxy S23 8/256GB лайм

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",62770 сом,/images/product/118819/1679251545_73126500.jpg
16,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB черный,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB черный

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118820/1679252408_56763800.jpg
17,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB кремовый,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB кремовый

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118821/1679252780_88854600.jpg
18,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB зеленый,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB зеленый

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118822/1679252946_94063400.jpg
19,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB графит,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB графит

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118823/1679253149_41234400.jpg
20,Сотовый телефон Xiaomi Redmi 12C 4/128GB фиолетовый,"

Сотовый телефон Xiaomi Redmi 12C 4/128GB фиолетовый

        6.7"" IPS 1650x720~60Гц; Mediatek Helio G85; память 4/128GB; основная камера 50+0.08 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 10 Вт; Android 12; GSM 4G            ",10710 сом,/images/product/119847/1680853327_94505700.png
21,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лайм,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лайм

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118824/1679253346_80393500.jpg
22,Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB черный

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 4/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",15310 сом,/images/product/119848/1680855512_29540100.jpg
23,Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 4/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",15310 сом,/images/product/119849/1680855650_97311600.jpg
